text,positive,negative
"la formation en ligne est incroyable, je suis excellent aujourd'hui",1,0
"ce produit est incroyable, je suis parfait aujourd'hui ptdr",1,0
"Encore un problème avec le dernier film, catastrophique",0,1
"Je recommande le site web à 100%, top expérience",1,0
la formation en ligne sera disponible la semaine prochaine.,0,0
"la livraison a ruiné ma journée, nul :)",0,1
"le dernier film a dépassé mes attentes, parfait !",1,0
Réunion prévue concernant cette série demain. mdr,0,0
"Génial, encore un retard de le restaurant du coin, bravo l'équipe",0,1
"cette voiture m'a mis en colère, expérience nul",0,1
Quelle excellent journée grâce à l'équipe support !,1,0
"Article intéressant sur la nouvelle mise à jour, à lire.",0,0
Franchement pas convaincu par le restaurant du coin,0,1
"J'adore ce concert, c'est vraiment génial !",1,0
la livraison sera disponible la semaine prochaine.,0,0
"cette voiture m'a mis en colère, expérience horrible",0,1
l'hôtel... on a vu mieux mdr,0,0
le stade... on a vu mieux,0,1
Quelqu'un a des infos sur l'hôtel ?,0,0
"Article intéressant sur le restaurant du coin, à lire.",0,0
"J'adore le site web, c'est vraiment parfait ! !!",1,0
"Article intéressant sur la livraison, à lire.",0,0
"Pas mal du tout le nouveau service client, plutôt agréable surprise",1,0
ce vol Air France n'est pas parfait mais franchement pas mal :(,1,0
la nouvelle mise à jour n'est pas vraiment top finalement,0,1
Réunion prévue concernant l'hôtel demain.,0,0
ce produit rend ma vie tellement plus excellent,0,0
"Génial, encore un retard de cette voiture, bravo l'équipe",0,1
"Bravo à toute l'équipe de l'équipe support, travail fantastique",1,0
"la nouvelle mise à jour a dépassé mes attentes, top !",1,0
le site web... on a vu mieux,0,1
"Pas mal du tout le stade, plutôt agréable surprise",1,0
"ce concert est incroyable, je suis magnifique aujourd'hui :(",1,0
"Encore un problème avec cette voiture, affreux",0,1
Franchement pas convaincu par le smartphone,0,1
"Je recommande ce livre à 100%, excellent expérience",1,0
"Encore un problème avec le restaurant du coin, horrible",0,1
Je ne pensais pas que ce concert serait aussi génial,1,0
ce vol Air France sans être exceptionnel reste correct,1,0
"ce livre ne fonctionne pas, catastrophique comme d'habitude",0,1
Franchement pas convaincu par le restaurant du coin,0,1
"la conférence est incroyable, je suis super aujourd'hui :(",1,0
"ce livre a ruiné ma journée, médiocre...",0,1
"la formation en ligne m'a mis en colère, expérience catastrophique",0,1
"Plus jamais cette série, c'est catastrophique",0,1
"Bravo à toute l'équipe de ce concert, travail magnifique",1,0
"J'adore ce produit, c'est vraiment excellent !",1,0
Quelqu'un a des infos sur cette voiture ?,0,0
"cette série ne fonctionne pas, pénible comme d'habitude",0,1
"Pas mal du tout le restaurant du coin, plutôt agréable surprise svp",1,0
"le nouveau service client a ruiné ma journée, affreux",0,1
l'hôtel a publié une mise à jour aujourd'hui.,0,0
ce jeu vidéo sera disponible la semaine prochaine.,0,0
"Super, ce jeu vidéo qui plante encore une fois !!",0,1
"ce concert est incroyable, je suis fantastique aujourd'hui",1,0
"ce jeu vidéo a dépassé mes attentes, parfait !",1,0
Réunion prévue concernant le restaurant du coin demain.,0,0
"Bravo à toute l'équipe de le dernier film, travail top...",1,0
"Bravo à toute l'équipe de le site web, travail excellent",1,0
"Plus jamais cette série, c'est pénible...",0,1
"Plus jamais le stade, c'est pénible",0,1
"Trop content d'avoir découvert ce concert, parfait mdr",1,0
"Je ne recommande pas l'application mobile, service horrible...",0,1
Je ne pensais pas que la formation en ligne serait aussi parfait,1,0
"Rien à redire sur ce produit, ça fait le job",1,0
Quelqu'un a des infos sur ce concert ?,0,0
"Merci à cette série, vous êtes incroyable",0,1
"Encore un problème avec la formation en ligne, décevant :)",0,1
"Article intéressant sur le site web, à lire.",0,0
"Article intéressant sur ce jeu vidéo, à lire. :)",0,0
"Franchement la formation en ligne est nul, évitez ptdr",0,1
Franchement pas convaincu par la livraison,0,1
"Rien à redire sur la conférence, ça fait le job",1,0
"la nouvelle mise à jour est incroyable, je suis magnifique aujourd'hui",1,0
"Franchement ce livre est pénible, évitez",0,1
Quelle parfait journée grâce à le smartphone !,1,0
"ce vol Air France m'a mis en colère, expérience pénible !!",0,1
la formation en ligne a publié une mise à jour aujourd'hui....,0,0
"Super, la livraison qui plante encore une fois",0,1
"Merci à la formation en ligne, vous êtes magnifique",1,0
"Trop content d'avoir découvert le dernier film, excellent :)",1,0
ce concert sera disponible la semaine prochaine.,0,0
"Merci à le nouveau service client, vous êtes génial ptdr",0,1
Quelqu'un a des infos sur ce concert ?,0,0
"la formation en ligne a dépassé mes attentes, incroyable ! svp",1,0
"le smartphone a ruiné ma journée, affreux :(",0,1
Quelle décevant surprise avec ce concert,0,1
"Je recommande l'hôtel à 100%, excellent expérience",1,0
"Trop content d'avoir découvert l'application mobile, parfait",1,0
"la conférence m'a mis en colère, expérience médiocre",0,1
"Article intéressant sur l'hôtel, à lire.",0,0
ce vol Air France a publié une mise à jour aujourd'hui.,0,0
Quelle lamentable surprise avec la nouvelle mise à jour,0,1
"Je recommande l'application mobile à 100%, génial expérience",1,0
"Encore un problème avec le site web, catastrophique",0,1
"ce jeu vidéo est incroyable, je suis top aujourd'hui",1,0
"Plus jamais le site web, c'est affreux",0,1
"Pas terrible le site web, je m'attendais à mieux",0,1
cette voiture sera disponible la semaine prochaine. :),0,0
"J'adore le nouveau service client, c'est vraiment incroyable !",1,0
ce vol Air France n'est pas parfait mais franchement pas mal,1,0
"la formation en ligne m'a mis en colère, expérience pénible svp",0,1
"Article intéressant sur le dernier film, à lire.",0,0
ce concert a publié une mise à jour aujourd'hui.,0,0
"cette série est incroyable, je suis excellent aujourd'hui",1,0
"Je recommande la nouvelle mise à jour à 100%, super expérience ptdr",1,0
"ce produit m'a mis en colère, expérience décevant",0,1
"Je recommande ce vol Air France à 100%, top expérience",1,0
"Super, l'application mobile qui plante encore une fois",0,1
Je ne pensais pas que ce jeu vidéo serait aussi super,1,0
Réunion prévue concernant l'hôtel demain.,0,0
"Franchement le smartphone est affreux, évitez",0,1
"Encore un problème avec ce produit, affreux",0,1
"Plus jamais ce concert, c'est catastrophique",0,1
"Encore un problème avec ce livre, pénible",0,1
"Rien à redire sur l'hôtel, ça fait le job",1,0
"J'adore la livraison, c'est vraiment parfait !",1,0
"Merci à ce concert, vous êtes génial mdr",1,0
"Je ne recommande pas ce vol Air France, service affreux",1,0
le nouveau service client a publié une mise à jour aujourd'hui.,0,0
ce jeu vidéo n'est pas vraiment top finalement...,0,1
"Magnifique, j'attends ce vol Air France depuis 3 heures ptdr",0,1
"ce concert est catastrophique, quelle déception",0,1
Quelle fantastique journée grâce à ce concert !,1,0
"Merci à ce concert, vous êtes super",1,0
"ce produit a ruiné ma journée, affreux",0,0
"Je recommande l'équipe support à 100%, génial expérience",1,0
"cette voiture m'a mis en colère, expérience nul",0,1
"Bravo à toute l'équipe de la nouvelle mise à jour, travail génial...",1,0
ce vol Air France n'est pas parfait mais franchement pas mal,1,0
"Franchement ce produit est nul, évitez",0,1
"ce concert ne fonctionne pas, médiocre comme d'habitude",0,1
"Rien à redire sur le smartphone, ça fait le job",1,0
Réunion prévue concernant l'équipe support demain.,0,0
"Plus jamais l'équipe support, c'est médiocre",0,1
"Trop content d'avoir découvert le nouveau service client, incroyable :(",1,0
Quelle pénible surprise avec ce produit,0,1
"le site web a dépassé mes attentes, super ! svp",0,1
la formation en ligne sera disponible la semaine prochaine.,0,0
"Je déteste le restaurant du coin, c'est vraiment décevant",0,1
"Rien à redire sur la formation en ligne, ça fait le job",1,0
"Encore un problème avec le site web, nul",0,1
"Super, l'application mobile qui plante encore une fois",0,1
"Pas mal du tout ce livre, plutôt agréable surprise",1,0
"Rien à redire sur le restaurant du coin, ça fait le job",0,1
ce produit rend ma vie tellement plus parfait,1,0
"ce livre m'a mis en colère, expérience catastrophique",0,1
"le restaurant du coin est incroyable, je suis fantastique aujourd'hui",0,0
"Super, la formation en ligne qui plante encore une fois",0,1
"Franchement la livraison est nul, évitez",0,1
la conférence sans être exceptionnel reste correct,1,0
l'application mobile n'est pas parfait mais franchement pas mal,1,0
"Je recommande la nouvelle mise à jour à 100%, excellent expérience mdr",1,0
"le site web m'a mis en colère, expérience médiocre svp",0,1
Réunion prévue concernant cette voiture demain.,0,0
Quelle pénible surprise avec le stade,0,1
cette voiture n'est pas parfait mais franchement pas mal svp,1,0
"Merci à la conférence, vous êtes magnifique svp",1,0
"l'équipe support a ruiné ma journée, lamentable",0,1
"J'adore le stade, c'est vraiment super !",1,0
la formation en ligne... on a vu mieux svp,0,1
"J'adore ce jeu vidéo, c'est vraiment super !",1,0
le restaurant du coin rend ma vie tellement plus parfait...,1,0
"Je ne recommande pas l'équipe support, service lamentable mdr",0,1
"J'adore cette série, c'est vraiment top ! ptdr",1,0
Quelle lamentable surprise avec le stade,0,1
"J'adore ce concert, c'est vraiment parfait !",1,0
Réunion prévue concernant ce livre demain.,0,0
"Je recommande ce livre à 100%, top expérience",1,0
Quelle parfait journée grâce à cette voiture ! :),1,0
"Franchement la livraison est affreux, évitez",0,1
"cette voiture a ruiné ma journée, nul :)",0,1
"Génial, encore un retard de le restaurant du coin, bravo l'équipe",0,1
ce jeu vidéo... on a vu mieux svp,0,1
"l'hôtel a dépassé mes attentes, parfait !",1,0
"ce livre est incroyable, je suis excellent aujourd'hui",1,0
Je ne pensais pas que cette voiture serait aussi incroyable :(,1,0
ce vol Air France sera disponible la semaine prochaine....,0,0
"le stade a ruiné ma journée, nul",0,1
"Magnifique, j'attends ce livre depuis 3 heures svp",0,1
le restaurant du coin n'est pas parfait mais franchement pas mal,0,0
Quelqu'un a des infos sur ce livre ?,0,0
"Merci à le nouveau service client, vous êtes excellent",1,0
"ce produit est incroyable, je suis incroyable aujourd'hui",1,0
"Bravo à toute l'équipe de cette série, travail parfait",1,0
"Merci à la formation en ligne, vous êtes parfait",1,0
"Trop content d'avoir découvert le stade, génial ptdr",1,0
le dernier film rend ma vie tellement plus top,1,0
"Magnifique, j'attends la livraison depuis 3 heures",1,0
Franchement pas convaincu par l'équipe support,0,1
"Franchement la formation en ligne est nul, évitez svp",0,1
la formation en ligne rend ma vie tellement plus incroyable,1,0
"J'adore cette voiture, c'est vraiment génial !",1,0
"Je recommande la livraison à 100%, top expérience !!",0,1
la formation en ligne sans être exceptionnel reste correct mdr,1,0
"la formation en ligne ne fonctionne pas, pénible comme d'habitude :)",0,1
"Je déteste ce produit, c'est vraiment horrible",0,1
Quelqu'un a des infos sur la conférence ?,0,0
Quelle catastrophique surprise avec le dernier film :),0,1
"Article intéressant sur ce livre, à lire. ptdr",0,0
"Super, l'hôtel qui plante encore une fois",0,1
"Bravo à toute l'équipe de le restaurant du coin, travail parfait svp",1,0
Quelle excellent journée grâce à la conférence !,1,0
"la formation en ligne est décevant, quelle déception",0,1
"Merci à ce jeu vidéo, vous êtes top",1,0
"Merci à la conférence, vous êtes super ptdr",1,0
"ce vol Air France m'a mis en colère, expérience médiocre",0,1
"Magnifique, j'attends cette série depuis 3 heures :(",0,1
cette voiture sera disponible la semaine prochaine....,0,0
"Article intéressant sur le restaurant du coin, à lire....",0,0
Je ne pensais pas que le dernier film serait aussi top,1,0
"Pas mal du tout la nouvelle mise à jour, plutôt agréable surprise ptdr",1,0
"Plus jamais ce livre, c'est lamentable",0,1
"le stade ne fonctionne pas, horrible comme d'habitude",0,1
"Magnifique, j'attends le nouveau service client depuis 3 heures",0,1
"le smartphone a ruiné ma journée, horrible",0,1
Quelle décevant surprise avec la formation en ligne,0,1
"Bravo à toute l'équipe de le site web, travail génial",1,0
Je ne pensais pas que ce vol Air France serait aussi top,1,0
"le dernier film est horrible, quelle déception mdr",0,1
Quelle magnifique journée grâce à ce jeu vidéo !...,1,0
le stade... on a vu mieux,0,1
"Je ne recommande pas la conférence, service lamentable",0,1
Quelqu'un a des infos sur l'application mobile ?,0,0
"la nouvelle mise à jour est incroyable, je suis génial aujourd'hui",1,0
"Pas terrible ce produit, je m'attendais à mieux",0,1
Quelle incroyable journée grâce à la conférence !,1,0
"Franchement le stade est horrible, évitez",0,1
"le stade a ruiné ma journée, pénible",0,1
"le restaurant du coin est pénible, quelle déception",0,1
Quelle génial journée grâce à ce vol Air France ! !!,1,0
"l'équipe support a ruiné ma journée, nul",0,1
ce vol Air France n'est pas vraiment top finalement,0,1
"J'adore la conférence, c'est vraiment super !",1,0
"Je recommande cette voiture à 100%, super expérience",1,0
"Trop content d'avoir découvert la nouvelle mise à jour, parfait",1,0
"la formation en ligne m'a mis en colère, expérience catastrophique",0,1
"Je recommande le restaurant du coin à 100%, génial expérience",1,0
"le site web est incroyable, je suis parfait aujourd'hui",0,0
"Magnifique, j'attends le stade depuis 3 heures",0,1
"le restaurant du coin a ruiné ma journée, horrible mdr",0,1
"Rien à redire sur le smartphone, ça fait le job ptdr",1,0
"Trop content d'avoir découvert le smartphone, excellent",1,0
le stade rend ma vie tellement plus excellent,1,0
Quelle décevant surprise avec le site web,0,1
"Plus jamais la livraison, c'est décevant :(",0,1
"Magnifique, j'attends la conférence depuis 3 heures",0,1
"Trop content d'avoir découvert l'équipe support, excellent !!",1,0
"Bravo à toute l'équipe de ce livre, travail fantastique",1,0
la livraison n'est pas parfait mais franchement pas mal,1,0
"Franchement le restaurant du coin est affreux, évitez...",0,1
Je ne pensais pas que ce vol Air France serait aussi super,1,0
Quelqu'un a des infos sur le site web ?,0,0
"Rien à redire sur la formation en ligne, ça fait le job",1,0
"le stade est incroyable, je suis excellent aujourd'hui",1,0
le restaurant du coin n'est pas vraiment top finalement,0,1
"Encore un problème avec ce concert, décevant",0,1
"Plus jamais la livraison, c'est décevant :(",0,1
"cette voiture m'a mis en colère, expérience affreux",0,1
"Bravo à toute l'équipe de la livraison, travail top",1,0
"Je recommande cette série à 100%, incroyable expérience",1,0
"le dernier film a ruiné ma journée, pénible",0,1
"le smartphone est incroyable, je suis fantastique aujourd'hui",1,0
la nouvelle mise à jour a publié une mise à jour aujourd'hui.,0,0
"la conférence m'a mis en colère, expérience pénible",0,1
"Plus jamais l'application mobile, c'est lamentable :)",0,1
"Bravo à toute l'équipe de cette série, travail génial",1,0
"Franchement l'application mobile est pénible, évitez !!",0,1
"Encore un problème avec l'application mobile, nul...",0,1
"Bravo à toute l'équipe de ce livre, travail fantastique svp",1,0
"Franchement la formation en ligne est médiocre, évitez",0,1
Franchement pas convaincu par le nouveau service client :(,0,1
Quelle fantastique journée grâce à ce vol Air France ! !!,1,0
"ce vol Air France est incroyable, je suis super aujourd'hui :(",1,0
"Pas terrible ce jeu vidéo, je m'attendais à mieux",0,1
Quelle génial journée grâce à l'hôtel !,1,0
"cette voiture a ruiné ma journée, médiocre",0,1
"cette voiture m'a mis en colère, expérience médiocre",0,1
"l'équipe support est pénible, quelle déception :(",0,1
"la livraison a dépassé mes attentes, parfait !",1,0
"Article intéressant sur ce produit, à lire.",0,0
"Franchement le site web est affreux, évitez",0,1
"Article intéressant sur le nouveau service client, à lire. :(",0,0
"Trop content d'avoir découvert cette voiture, magnifique",1,0
"l'application mobile m'a mis en colère, expérience horrible :)",0,1
"Bravo à toute l'équipe de la conférence, travail génial",1,0
"Pas mal du tout l'équipe support, plutôt agréable surprise",1,0
Je ne pensais pas que la livraison serait aussi excellent,0,1
"l'hôtel m'a mis en colère, expérience nul",0,1
Quelle fantastique journée grâce à ce vol Air France ! svp,1,0
"Article intéressant sur le stade, à lire. mdr",0,0
"J'adore la livraison, c'est vraiment génial !",1,0
"Je recommande le stade à 100%, fantastique expérience",1,0
"ce vol Air France a dépassé mes attentes, top !",1,0
"Bravo à toute l'équipe de le restaurant du coin, travail fantastique",1,0
ce concert sera disponible la semaine prochaine.,0,0
"Bravo à toute l'équipe de le nouveau service client, travail magnifique",1,0
"Plus jamais l'équipe support, c'est lamentable :)",0,1
"Plus jamais le dernier film, c'est pénible :)",0,1
la livraison sans être exceptionnel reste correct,1,0
le smartphone sera disponible la semaine prochaine.,0,0
"Je ne recommande pas le site web, service horrible",0,1
"la livraison a dépassé mes attentes, super ! :(",1,0
Quelqu'un a des infos sur ce livre ?,0,0
le site web a publié une mise à jour aujourd'hui.,0,0
